Year,County,Hospital,OSHPDID,Measure,Risk Adjusted Rate,# of Deaths/Readmissions,# of Cases,Hospital Ratings,Location 1
2014-2015,El Dorado,Marshall Medical Center,106090933,30-day Readmission,10.14,14,152,As Expected,"(38.72557326,-120.7909638)"
2014-2015,El Dorado,Marshall Medical Center,106090933,30-day Mortality,12.76,21,158,As Expected,"(38.72557326,-120.7909638)"
2014-2015,Fresno,Clovis Community Medical Center,106100005,30-day Mortality,9.94,26,298,As Expected,"(36.83745,-119.66072)"
2014-2015,Fresno,Clovis Community Medical Center,106100005,30-day Readmission,9.89,28,291,As Expected,"(36.83745,-119.66072)"
2014-2015,Fresno,Community Regional Medical Center � Fresno,106100717,30-day Mortality,13.16,71,746,Worse,"(36.74253,-119.78324)"
2014-2015,Fresno,Community Regional Medical Center � Fresno,106100717,30-day Readmission,13.41,95,706,As Expected,"(36.74253,-119.78324)"
2014-2015,Fresno,Adventist Medical Center - Reedley,106100797,30-day Mortality,9.63,2,30,As Expected,"(36.60789,-119.45145)"
2014-2015,Fresno,Adventist Medical Center - Reedley,106100797,30-day Readmission,12.69,3,30,As Expected,"(36.60789,-119.45145)"
2014-2015,Fresno,Saint Agnes Medical Center,106100899,30-day Mortality,9.88,65,624,As Expected,"(36.8370782,-119.7649963)"
2014-2015,Fresno,Saint Agnes Medical Center,106100899,30-day Readmission,11.61,71,587,As Expected,"(36.8370782,-119.7649963)"
2014-2015,Fresno,Kaiser Foundation Hospital � Fresno,106104062,30-day Mortality,11.31,35,286,As Expected,"(36.84246,-119.7832)"
2014-2015,Fresno,Kaiser Foundation Hospital � Fresno,106104062,30-day Readmission,8.98,26,274,As Expected,"(36.84246,-119.7832)"
2014-2015,Humboldt,Mad River Community Hospital,106121002,30-day Readmission,20.24,8,48,As Expected,"(40.90351,-124.09038)"
2014-2015,Humboldt,Mad River Community Hospital,106121002,30-day Mortality,7.42,3,50,As Expected,"(40.90351,-124.09038)"
2014-2015,Humboldt,Saint Joseph Hospital � Eureka,106121080,30-day Readmission,7.16,12,165,As Expected,"(40.7832,-124.14216)"
2014-2015,Humboldt,Saint Joseph Hospital � Eureka,106121080,30-day Mortality,7.97,14,173,As Expected,"(40.7832,-124.14216)"
2014-2015,Imperial,El Centro Regional Medical Center,106130699,30-day Readmission,9.83,19,183,As Expected,"(32.78138,-115.49824)"
2014-2015,Imperial,El Centro Regional Medical Center,106130699,30-day Mortality,6.86,13,188,As Expected,"(32.78138,-115.49824)"
2014-2015,Imperial,Pioneers Memorial Healthcare District,106130760,30-day Readmission,16.45,23,140,As Expected,"(32.96003,-115.55183)"
2014-2015,Imperial,Pioneers Memorial Healthcare District,106130760,30-day Mortality,6.12,7,144,As Expected,"(32.96003,-115.55183)"
2014-2015,Kern,Bakersfield Memorial Hospital,106150722,30-day Readmission,9.67,28,310,As Expected,"(35.39051,-119.00658)"
2014-2015,Kern,Bakersfield Memorial Hospital,106150722,30-day Mortality,11.82,28,327,As Expected,"(35.39051,-119.00658)"
2014-2015,Kern,Kern Medical Center,106150736,30-day Readmission,8.63,4,45,As Expected,"(35.380833,-118.967222)"
2014-2015,Kern,Kern Medical Center,106150736,30-day Mortality,13.42,2,47,As Expected,"(35.380833,-118.967222)"
2014-2015,Kern,Mercy Hospital � Bakersfield,106150761,30-day Mortality,10.21,16,189,As Expected,"(35.37323,-119.02715)"
2014-2015,Kern,Mercy Hospital � Bakersfield,106150761,30-day Readmission,11.27,18,179,As Expected,"(35.37323,-119.02715)"
2014-2015,Kern,Ridgecrest Regional Hospital,106150782,30-day Mortality,22.56,10,39,Worse,"(35.6404,-117.66996)"
2014-2015,Kern,Ridgecrest Regional Hospital,106150782,30-day Readmission,6.81,2,36,As Expected,"(35.6404,-117.66996)"
2014-2015,Kern,San Joaquin Community Hospital,106150788,30-day Mortality,15.39,63,506,Worse,"(35.383064,-119.018775)"
2014-2015,Kern,San Joaquin Community Hospital,106150788,30-day Readmission,11.13,53,482,As Expected,"(35.383064,-119.018775)"
2014-2015,Kern,Bakersfield Heart Hospital,106154101,30-day Readmission,13.35,9,66,As Expected,"(35.38619,-119.04314)"
2014-2015,Kern,Bakersfield Heart Hospital,106154101,30-day Mortality,18.6,11,71,As Expected,"(35.38619,-119.04314)"
2014-2015,Kings,Adventist Medical Center,106164029,30-day Readmission,10.23,24,245,As Expected,"(36.3256247,-119.6683912)"
2014-2015,Kings,Adventist Medical Center,106164029,30-day Mortality,11.15,22,260,As Expected,"(36.3256247,-119.6683912)"
2014-2015,Lake,Sutter Lakeside Hospital,106171395,30-day Readmission,7.55,3,43,As Expected,"(39.10232,-122.91003)"
2014-2015,Lake,Sutter Lakeside Hospital,106171395,30-day Mortality,16.49,8,48,As Expected,"(39.10232,-122.91003)"
2014-2015,Los Angeles,Alhambra Hospital Medical Center,106190017,30-day Mortality,5.61,4,96,As Expected,"(34.08988,-118.1449)"
2014-2015,Los Angeles,Alhambra Hospital Medical Center,106190017,30-day Readmission,17.57,17,94,As Expected,"(34.08988,-118.1449)"
2014-2015,Los Angeles,Antelope Valley Hospital,106190034,30-day Readmission,16.56,62,386,Worse,"(34.68928,-118.15767)"
2014-2015,Los Angeles,Antelope Valley Hospital,106190034,30-day Mortality,19.14,58,413,Worse,"(34.68928,-118.15767)"
2014-2015,Los Angeles,Saint Mary Medical Center --Long Beach,106190053,30-day Mortality,8.23,15,198,As Expected,"(33.7802376,-118.1866412)"
2014-2015,Los Angeles,Saint Mary Medical Center --Long Beach,106190053,30-day Readmission,13.93,32,192,As Expected,"(33.7802376,-118.1866412)"
2014-2015,Los Angeles,Beverly Hospital,106190081,30-day Readmission,9.8,12,115,As Expected,"(34.01614,-118.10132)"
2014-2015,Los Angeles,Beverly Hospital,106190081,30-day Mortality,10.2,12,124,As Expected,"(34.01614,-118.10132)"
2014-2015,Los Angeles,Southern California Hospital At Culver City,106190110,30-day Mortality,4.7,4,111,As Expected,"(34.02328,-118.39724)"
2014-2015,Los Angeles,Southern California Hospital At Culver City,106190110,30-day Readmission,18.21,22,109,As Expected,"(34.02328,-118.39724)"
2014-2015,Los Angeles,California Hospital Medical Center � Los Angeles,106190125,30-day Mortality,10.86,19,331,As Expected,"(34.03721,-118.26551)"
2014-2015,Los Angeles,California Hospital Medical Center � Los Angeles,106190125,30-day Readmission,14.66,46,318,As Expected,"(34.03721,-118.26551)"
2014-2015,Los Angeles,Centinela Hospital Medical Center,106190148,30-day Readmission,15.36,75,381,Worse,"(33.94917,-118.34788)"
2014-2015,Los Angeles,Centinela Hospital Medical Center,106190148,30-day Mortality,8.82,20,390,As Expected,"(33.94917,-118.34788)"
2014-2015,Los Angeles,Community and Mission Hospital of Huntington Park � Slauson,106190197,30-day Mortality,7.89,2,31,As Expected,"(33.98929,-118.22466)"
2014-2015,Los Angeles,San Gabriel Valley Medical Center,106190200,30-day Readmission,12.9,21,144,As Expected,"(34.1024,-118.10503)"
2014-2015,Los Angeles,San Gabriel Valley Medical Center,106190200,30-day Mortality,6.85,14,150,As Expected,"(34.1024,-118.10503)"
2014-2015,Los Angeles,Lakewood Regional Medical Center,106190240,30-day Mortality,12.54,24,278,As Expected,"(33.86016,-118.14837)"
2014-2015,Los Angeles,Lakewood Regional Medical Center,106190240,30-day Readmission,13.59,38,267,As Expected,"(33.86016,-118.14837)"
2014-2015,Los Angeles,Pih Hospital - Downey,106190243,30-day Readmission,10.05,16,156,As Expected,"(33.93515,-118.13196)"
2014-2015,Los Angeles,Pih Hospital - Downey,106190243,30-day Mortality,12.11,17,163,As Expected,"(33.93515,-118.13196)"
2014-2015,Los Angeles,Foothill Presbyterian Hospital � Johnston Memorial,106190298,30-day Readmission,9.52,8,94,As Expected,"(34.13384,-117.87244)"
2014-2015,Los Angeles,Foothill Presbyterian Hospital � Johnston Memorial,106190298,30-day Mortality,14.8,10,97,As Expected,"(34.13384,-117.87244)"
2014-2015,Los Angeles,"Pacific Alliance Medical Center, Inc.",106190307,30-day Readmission,8.13,9,102,As Expected,"(34.06464,-118.23905)"
2014-2015,Los Angeles,"Pacific Alliance Medical Center, Inc.",106190307,30-day Mortality,3.46,3,102,As Expected,"(34.06464,-118.23905)"
2014-2015,Los Angeles,Garfield Medical Center,106190315,30-day Readmission,17.07,48,267,Worse,"(34.06826,-118.12302)"
2014-2015,Los Angeles,Garfield Medical Center,106190315,30-day Mortality,7.22,22,280,As Expected,"(34.06826,-118.12302)"
2014-2015,Los Angeles,Glendale Adventist Medical Center � Wilson Terrace,106190323,30-day Readmission,11.8,44,347,As Expected,"(34.14951,-118.23109)"
2014-2015,Los Angeles,Glendale Adventist Medical Center � Wilson Terrace,106190323,30-day Mortality,6.06,32,365,Better,"(34.14951,-118.23109)"
2014-2015,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Mortality,9.17,17,228,As Expected,"(34.09557,-118.29163)"
2014-2015,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Readmission,14.11,30,218,As Expected,"(34.09557,-118.29163)"
2014-2015,Los Angeles,Providence Holy Cross Medical Center,106190385,30-day Readmission,15.08,45,293,As Expected,"(34.2791,-118.45951)"
2014-2015,Los Angeles,Providence Holy Cross Medical Center,106190385,30-day Mortality,12.43,38,310,As Expected,"(34.2791,-118.45951)"
2014-2015,Los Angeles,Good Samaritan Hospital � Los Angeles,106190392,30-day Readmission,15.25,28,181,As Expected,"(34.05324,-118.26522)"
2014-2015,Los Angeles,Good Samaritan Hospital � Los Angeles,106190392,30-day Mortality,6.69,10,188,As Expected,"(34.05324,-118.26522)"
2014-2015,Los Angeles,Huntington Memorial Hospital,106190400,30-day Mortality,7.09,35,487,As Expected,"(34.13565,-118.1518)"
2014-2015,Los Angeles,Huntington Memorial Hospital,106190400,30-day Readmission,12.81,62,474,As Expected,"(34.13565,-118.1518)"
2014-2015,Los Angeles,Citrus Valley Medical Center � Inter Community Campus,106190413,30-day Readmission,14.34,14,102,As Expected,"(34.08993,-117.89264)"
2014-2015,Los Angeles,Citrus Valley Medical Center � Inter Community Campus,106190413,30-day Mortality,9,10,107,As Expected,"(34.08993,-117.89264)"
2014-2015,Los Angeles,Torrance Memorial Medical Center,106190422,30-day Readmission,15.51,80,544,Worse,"(33.81258,-118.34388)"
2014-2015,Los Angeles,Torrance Memorial Medical Center,106190422,30-day Mortality,8.85,53,576,As Expected,"(33.81258,-118.34388)"
2014-2015,Los Angeles,Kaiser Foundation Hospital � Sunset,106190429,30-day Readmission,10.46,42,372,As Expected,"(34.09823,-118.29545)"
2014-2015,Los Angeles,Kaiser Foundation Hospital � Sunset,106190429,30-day Mortality,9.11,35,397,As Expected,"(34.09823,-118.29545)"
2014-2015,Los Angeles,Kaiser Foundation Hospital � South Bay,106190431,30-day Readmission,14.97,43,259,As Expected,"(33.789,-118.29415)"
2014-2015,Los Angeles,Kaiser Foundation Hospital � South Bay,106190431,30-day Mortality,11.28,25,274,As Expected,"(33.789,-118.29415)"
2014-2015,Los Angeles,Kaiser Foundation Hospital � Panorama City,106190432,30-day Readmission,5.35,10,178,Better,"(34.21975,-118.43009)"
2014-2015,Los Angeles,Kaiser Foundation Hospital � Panorama City,106190432,30-day Mortality,16.7,27,184,Worse,"(34.21975,-118.43009)"
2014-2015,Los Angeles,Kaiser Foundation Hospital � West Los Angeles,106190434,30-day Readmission,11.02,58,483,As Expected,"(34.03793,-118.37568)"
2014-2015,Los Angeles,Kaiser Foundation Hospital � West Los Angeles,106190434,30-day Mortality,9.13,31,494,As Expected,"(34.03793,-118.37568)"
2014-2015,Los Angeles,Providence Little Company of Mary Medical Center � Torrance,106190470,30-day Readmission,13.35,77,547,As Expected,"(33.83767,-118.35708)"
2014-2015,Los Angeles,Providence Little Company of Mary Medical Center � Torrance,106190470,30-day Mortality,9.9,44,567,As Expected,"(33.83767,-118.35708)"
2014-2015,Los Angeles,Community Hospital Long Beach,106190475,30-day Readmission,3.66,2,49,As Expected,"(33.78871,-118.14578)"
2014-2015,Los Angeles,Community Hospital Long Beach,106190475,30-day Mortality,8.29,5,53,As Expected,"(33.78871,-118.14578)"
2014-2015,Los Angeles,Marina Del Rey Hospital,106190500,30-day Readmission,13.28,10,68,As Expected,"(33.98125,-118.43971)"
2014-2015,Los Angeles,Marina Del Rey Hospital,106190500,30-day Mortality,13.11,8,72,As Expected,"(33.98125,-118.43971)"
2014-2015,Los Angeles,Providence Tarzana Medical Center,106190517,30-day Readmission,10.58,25,228,As Expected,"(34.16985,-118.53136)"
2014-2015,Los Angeles,Providence Tarzana Medical Center,106190517,30-day Mortality,8.41,24,246,As Expected,"(34.16985,-118.53136)"
2014-2015,Los Angeles,Memorial Hospital of Gardena,106190521,30-day Readmission,13.91,17,97,As Expected,"(33.89246,-118.29493)"
2014-2015,Los Angeles,Memorial Hospital of Gardena,106190521,30-day Mortality,8.53,6,100,As Expected,"(33.89246,-118.29493)"
2014-2015,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,30-day Readmission,14.19,19,129,As Expected,"(34.1284,-118.25769)"
2014-2015,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,30-day Mortality,5.5,6,132,As Expected,"(34.1284,-118.25769)"
2014-2015,Los Angeles,Mission Community Hospital � Panorama Campus,106190524,30-day Readmission,9.61,4,39,As Expected,"(34.22138,-118.45639)"
2014-2015,Los Angeles,Mission Community Hospital � Panorama Campus,106190524,30-day Mortality,9.54,4,39,As Expected,"(34.22138,-118.45639)"
2014-2015,Los Angeles,Long Beach Memorial Medical Center,106190525,30-day Readmission,12,76,596,As Expected,"(33.80801,-118.1852)"
2014-2015,Los Angeles,Long Beach Memorial Medical Center,106190525,30-day Mortality,8.55,48,613,As Expected,"(33.80801,-118.1852)"
2014-2015,Los Angeles,Methodist Hospital of Southern California,106190529,30-day Readmission,13.35,66,457,As Expected,"(34.13603,-118.03879)"
2014-2015,Los Angeles,Methodist Hospital of Southern California,106190529,30-day Mortality,6.76,38,476,Better,"(34.13603,-118.03879)"
2014-2015,Los Angeles,Olympia Medical Center,106190534,30-day Readmission,16.01,10,53,As Expected,"(34.05754,-118.36008)"
2014-2015,Los Angeles,Olympia Medical Center,106190534,30-day Mortality,2.97,2,55,As Expected,"(34.05754,-118.36008)"
2014-2015,Los Angeles,Monterey Park Hospital,106190547,30-day Readmission,13.29,8,58,As Expected,"(34.05308,-118.13665)"
2014-2015,Los Angeles,Monterey Park Hospital,106190547,30-day Mortality,7.32,4,60,As Expected,"(34.05308,-118.13665)"
2014-2015,Los Angeles,Cedars Sinai Medical Center,106190555,30-day Mortality,5.41,47,707,Better,"(34.07681,-118.38061)"
2014-2015,Los Angeles,Cedars Sinai Medical Center,106190555,30-day Readmission,12.54,92,678,As Expected,"(34.07681,-118.38061)"
2014-2015,Los Angeles,Northridge Hospital Medical Center,106190568,30-day Readmission,12.23,30,244,As Expected,"(34.22075,-118.53186)"
2014-2015,Los Angeles,Northridge Hospital Medical Center,106190568,30-day Mortality,12.12,35,264,As Expected,"(34.22075,-118.53186)"
2014-2015,Los Angeles,College Medical Center,106190587,30-day Readmission,5.57,2,31,As Expected,"(33.80759,-118.19355)"
2014-2015,Los Angeles,College Medical Center,106190587,30-day Mortality,3.75,2,32,As Expected,"(33.80759,-118.19355)"
2014-2015,Los Angeles,Pomona Valley Hospital Medical Center,106190630,30-day Readmission,13.94,71,526,As Expected,"(34.07852,-117.75234)"
2014-2015,Los Angeles,Pomona Valley Hospital Medical Center,106190630,30-day Mortality,9.86,61,557,As Expected,"(34.07852,-117.75234)"
2014-2015,Los Angeles,Presbyterian Intercommunity Hospital,106190631,30-day Readmission,12.65,72,548,As Expected,"(33.96775,-118.04671)"
2014-2015,Los Angeles,Presbyterian Intercommunity Hospital,106190631,30-day Mortality,9.12,66,574,As Expected,"(33.96775,-118.04671)"
2014-2015,Los Angeles,Citrus Valley Medical Center � Queen of the Valley Campus,106190636,30-day Readmission,12.99,39,320,As Expected,"(34.06242,-117.94528)"
2014-2015,Los Angeles,Citrus Valley Medical Center � Queen of the Valley Campus,106190636,30-day Mortality,10.73,30,330,As Expected,"(34.06242,-117.94528)"
2014-2015,Los Angeles,San Dimas Community Hospital,106190673,30-day Readmission,11.69,6,49,As Expected,"(34.09922,-117.83218)"
2014-2015,Los Angeles,San Dimas Community Hospital,106190673,30-day Mortality,4.57,2,49,As Expected,"(34.09922,-117.83218)"
2014-2015,Los Angeles,Providence Little Company of Mary Medical Center � San Pedro,106190680,30-day Readmission,17.2,24,145,As Expected,"(33.73798,-118.30557)"
2014-2015,Los Angeles,Providence Little Company of Mary Medical Center � San Pedro,106190680,30-day Mortality,12.38,19,151,As Expected,"(33.73798,-118.30557)"
2014-2015,Los Angeles,Santa Monica � UCLA Medical Center and Orthopedic Hospital,106190687,30-day Readmission,13.04,23,182,As Expected,"(34.02755,-118.48623)"
2014-2015,Los Angeles,Santa Monica � UCLA Medical Center and Orthopedic Hospital,106190687,30-day Mortality,3.1,5,184,Better,"(34.02755,-118.48623)"
2014-2015,Los Angeles,Sherman Oaks Hospital,106190708,30-day Readmission,14.84,10,68,As Expected,"(34.15995,-118.4488)"
2014-2015,Los Angeles,Sherman Oaks Hospital,106190708,30-day Mortality,1.61,1,68,Better,"(34.15995,-118.4488)"
2014-2015,Los Angeles,Saint Francis Medical Center,106190754,30-day Readmission,11.03,38,304,As Expected,"(33.93085,-118.20415)"
2014-2015,Los Angeles,Saint Francis Medical Center,106190754,30-day Mortality,9.63,31,329,As Expected,"(33.93085,-118.20415)"
2014-2015,Los Angeles,Providence Saint John�s Health Center,106190756,30-day Readmission,11.04,16,145,As Expected,"(34.0298085,-118.478687)"
2014-2015,Los Angeles,Providence Saint John�s Health Center,106190756,30-day Mortality,9.23,15,148,As Expected,"(34.0298085,-118.478687)"
2014-2015,Los Angeles,Providence Saint Joseph Medical Center,106190758,30-day Readmission,10.83,53,501,As Expected,"(34.1559,-118.32711)"
2014-2015,Los Angeles,Providence Saint Joseph Medical Center,106190758,30-day Mortality,8.78,55,524,As Expected,"(34.1559,-118.32711)"
2014-2015,Los Angeles,Saint Vincent Medical Center,106190762,30-day Readmission,14.08,19,133,As Expected,"(34.06311,-118.27302)"
2014-2015,Los Angeles,Saint Vincent Medical Center,106190762,30-day Mortality,6.27,7,136,As Expected,"(34.06311,-118.27302)"
2014-2015,Los Angeles,Coast Plaza Hospital,106190766,30-day Mortality,0,0,30,As Expected,"(33.91264,-118.09906)"
2014-2015,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,30-day Readmission,12.22,56,432,As Expected,"(34.068889,-118.445)"
2014-2015,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,30-day Mortality,6.33,41,450,Better,"(34.068889,-118.445)"
2014-2015,Los Angeles,Valley Presbyterian Hospital,106190812,30-day Readmission,16.39,30,175,As Expected,"(34.19399,-118.46196)"
2014-2015,Los Angeles,Valley Presbyterian Hospital,106190812,30-day Mortality,6.33,11,181,As Expected,"(34.19399,-118.46196)"
2014-2015,Los Angeles,University of Southern California Verdugo Hills Hospital,106190818,30-day Readmission,14.89,13,99,As Expected,"(34.20557,-118.2152)"
2014-2015,Los Angeles,University of Southern California Verdugo Hills Hospital,106190818,30-day Mortality,15.7,17,104,As Expected,"(34.20557,-118.2152)"
2014-2015,Los Angeles,West Hills Hospital and Medical Center,106190859,30-day Readmission,14.83,26,199,As Expected,"(34.20365,-118.6294)"
2014-2015,Los Angeles,West Hills Hospital and Medical Center,106190859,30-day Mortality,7.64,17,212,As Expected,"(34.20365,-118.6294)"
2014-2015,Los Angeles,White Memorial Medical Center,106190878,30-day Readmission,15.36,49,278,As Expected,"(34.051,-118.21739)"
2014-2015,Los Angeles,White Memorial Medical Center,106190878,30-day Mortality,8.84,24,288,As Expected,"(34.051,-118.21739)"
2014-2015,Los Angeles,Whittier Hospital Medical Center,106190883,30-day Readmission,13.55,12,92,As Expected,"(33.95379,-118.00303)"
2014-2015,Los Angeles,Whittier Hospital Medical Center,106190883,30-day Mortality,3.78,2,93,As Expected,"(33.95379,-118.00303)"
2014-2015,Los Angeles,Henry Mayo Newhall Hospital,106190949,30-day Mortality,7.11,13,224,As Expected,"(34.39637,-118.55324)"
2014-2015,Los Angeles,Henry Mayo Newhall Hospital,106190949,30-day Readmission,14.92,31,218,As Expected,"(34.39637,-118.55324)"
2014-2015,Los Angeles,Los Angeles County/Harbor � UCLA Medical Center,106191227,30-day Readmission,12.32,23,204,As Expected,"(33.83149,-118.29332)"
2014-2015,Los Angeles,Los Angeles County/Harbor � UCLA Medical Center,106191227,30-day Mortality,9.18,9,215,As Expected,"(33.83149,-118.29332)"
2014-2015,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,30-day Mortality,13.56,15,200,As Expected,"(34.05982,-118.21031)"
2014-2015,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,30-day Readmission,13,24,188,As Expected,"(34.05982,-118.21031)"
2014-2015,Los Angeles,Los Angeles County/Olive View � UCLA Medical Center,106191231,30-day Readmission,13.05,13,109,As Expected,"(34.32418,-118.45255)"
2014-2015,Los Angeles,Los Angeles County/Olive View � UCLA Medical Center,106191231,30-day Mortality,2.09,1,110,As Expected,"(34.32418,-118.45255)"
2014-2015,Los Angeles,Kaiser Foundation Hospital � Woodland Hills,106191450,30-day Readmission,8.32,29,323,As Expected,"(34.17198,-118.58829)"
2014-2015,Los Angeles,Kaiser Foundation Hospital � Woodland Hills,106191450,30-day Mortality,6.77,23,329,As Expected,"(34.17198,-118.58829)"
2014-2015,Los Angeles,Kaiser Foundation Hospital � Baldwin Park,106196035,30-day Readmission,12.61,49,365,As Expected,"(34.06348,-117.986)"
2014-2015,Los Angeles,Kaiser Foundation Hospital � Baldwin Park,106196035,30-day Mortality,10.54,30,378,As Expected,"(34.06348,-117.986)"
2014-2015,Los Angeles,Kaiser Foundation Hospital � Downey,106196403,30-day Readmission,11.18,52,464,As Expected,"(33.9171234,-118.1290216)"
2014-2015,Los Angeles,Kaiser Foundation Hospital � Downey,106196403,30-day Mortality,9.59,29,472,As Expected,"(33.9171234,-118.1290216)"
2014-2015,Los Angeles,Palmdale Regional Medical Center,106196405,30-day Readmission,13.47,21,162,As Expected,"(34.5843754,-118.1443461)"
2014-2015,Los Angeles,Palmdale Regional Medical Center,106196405,30-day Mortality,12.4,12,166,As Expected,"(34.5843754,-118.1443461)"
2014-2015,Madera,Madera Community Hospital,106201281,30-day Readmission,12.48,7,54,As Expected,"(36.94535,-120.04561)"
2014-2015,Madera,Madera Community Hospital,106201281,30-day Mortality,27.74,10,56,Worse,"(36.94535,-120.04561)"
2014-2015,Marin,Kaiser Foundation Hospital � San Rafael,106210992,30-day Readmission,7.05,10,145,As Expected,"(38.0041,-122.55376)"
2014-2015,Marin,Kaiser Foundation Hospital � San Rafael,106210992,30-day Mortality,11.78,20,153,As Expected,"(38.0041,-122.55376)"
2014-2015,Marin,Marin General Hospital,106211006,30-day Readmission,7.09,14,221,As Expected,"(37.94651,-122.53715)"
2014-2015,Marin,Marin General Hospital,106211006,30-day Mortality,7.89,24,235,As Expected,"(37.94651,-122.53715)"
2014-2015,Marin,Novato Community Hospital,106214034,30-day Readmission,12.52,6,53,As Expected,"(38.09749,-122.55887)"
2014-2015,Marin,Novato Community Hospital,106214034,30-day Mortality,2.61,1,53,As Expected,"(38.09749,-122.55887)"
2014-2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,30-day Readmission,9.62,3,33,As Expected,"(39.40079,-123.34973)"
2014-2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,30-day Mortality,7.76,4,33,As Expected,"(39.40079,-123.34973)"
2014-2015,Mendocino,Mendocino Coast District Hospital,106231013,30-day Readmission,17.23,4,30,As Expected,"(39.4326,-123.80068)"
2014-2015,Mendocino,Mendocino Coast District Hospital,106231013,30-day Mortality,16.31,5,32,As Expected,"(39.4326,-123.80068)"
2014-2015,Mendocino,Ukiah Valley Medical Center,106231396,30-day Readmission,5.04,4,83,As Expected,"(39.1528,-123.20363)"
2014-2015,Mendocino,Ukiah Valley Medical Center,106231396,30-day Mortality,17.85,20,92,Worse,"(39.1528,-123.20363)"
2014-2015,Merced,Mercy Medical Center � Merced,106240942,30-day Readmission,12.08,29,237,As Expected,"(37.3402309,-120.4651815)"
2014-2015,Merced,Mercy Medical Center � Merced,106240942,30-day Mortality,9.73,20,245,As Expected,"(37.3402309,-120.4651815)"
2014-2015,Monterey,Community Hospital Monterey Peninsula,106270744,30-day Readmission,9.62,28,311,As Expected,"(36.59827,-121.92488)"
2014-2015,Monterey,Community Hospital Monterey Peninsula,106270744,30-day Mortality,8.39,27,327,As Expected,"(36.59827,-121.92488)"
2014-2015,Monterey,Salinas Valley Memorial Hospital,106270875,30-day Readmission,10.48,31,298,As Expected,"(36.66022,-121.6481)"
2014-2015,Monterey,Salinas Valley Memorial Hospital,106270875,30-day Mortality,10.39,32,312,As Expected,"(36.66022,-121.6481)"
2014-2015,Monterey,Natividad Medical Center,106274043,30-day Readmission,10.74,4,45,As Expected,"(36.69686,-121.6297)"
2014-2015,Monterey,Natividad Medical Center,106274043,30-day Mortality,9.03,2,45,As Expected,"(36.69686,-121.6297)"
2014-2015,Napa,Queen of the Valley Hospital,106281047,30-day Readmission,11.21,19,169,As Expected,"(38.32363,-122.296)"
2014-2015,Napa,Queen of the Valley Hospital,106281047,30-day Mortality,12.78,28,185,As Expected,"(38.32363,-122.296)"
2014-2015,Napa,Saint Helena Hospital,106281078,30-day Readmission,13.32,4,31,As Expected,"(38.53937349,-122.473003)"
2014-2015,Napa,Saint Helena Hospital,106281078,30-day Mortality,9.93,4,33,As Expected,"(38.53937349,-122.473003)"
2014-2015,Nevada,Sierra Nevada Memorial Hospital,106291023,30-day Readmission,10.28,13,146,As Expected,"(39.22932,-121.04748)"
2014-2015,Nevada,Sierra Nevada Memorial Hospital,106291023,30-day Mortality,13.4,23,157,As Expected,"(39.22932,-121.04748)"
2014-2015,Orange,Orange Coast Memorial Medical Center,106300225,30-day Readmission,19.09,31,166,Worse,"(33.70162,-117.95524)"
2014-2015,Orange,Orange Coast Memorial Medical Center,106300225,30-day Mortality,12.03,16,168,As Expected,"(33.70162,-117.95524)"
2014-2015,Orange,AHMC Anaheim Regional Medical Center,106301098,30-day Readmission,16.23,27,173,As Expected,"(33.84725,-117.93248)"
2014-2015,Orange,AHMC Anaheim Regional Medical Center,106301098,30-day Mortality,9.45,14,180,As Expected,"(33.84725,-117.93248)"
2014-2015,Orange,Fountain Valley Regional Hospital and Medical Center � Euclid,106301175,30-day Readmission,10.11,41,393,As Expected,"(33.71546,-117.93694)"
2014-2015,Orange,Fountain Valley Regional Hospital and Medical Center � Euclid,106301175,30-day Mortality,9.84,44,418,As Expected,"(33.71546,-117.93694)"
2014-2015,Orange,Hoag Memorial Hospital Presbyterian,106301205,30-day Readmission,13.2,94,760,As Expected,"(33.62526,-117.92949)"
2014-2015,Orange,Hoag Memorial Hospital Presbyterian,106301205,30-day Mortality,8.65,77,781,As Expected,"(33.62526,-117.92949)"
2014-2015,Orange,Huntington Beach Hospital,106301209,30-day Readmission,9.64,5,53,As Expected,"(33.70442,-117.98895)"
2014-2015,Orange,Huntington Beach Hospital,106301209,30-day Mortality,2.7,1,53,As Expected,"(33.70442,-117.98895)"
2014-2015,Orange,La Palma Intercommunity Hospital,106301234,30-day Readmission,13.27,6,46,As Expected,"(33.8485,-118.03737)"
2014-2015,Orange,La Palma Intercommunity Hospital,106301234,30-day Mortality,3.17,1,47,As Expected,"(33.8485,-118.03737)"
2014-2015,Orange,Los Alamitos Medical Center,106301248,30-day Readmission,9.46,35,376,As Expected,"(33.80327,-118.0674)"
